Gene symbol;Element subtype;Class;;;;;;;;;
pcoR;METAL;COPPER;;;;;;;;;
pcoD;METAL;COPPER;;;;;;;;;
pcoC;METAL;COPPER;;;;;;;;;
pcoB;METAL;COPPER;;;;;;;;;
pcoA;METAL;COPPER;;;;;;;;;
mco;METAL;COPPER;;;;;;;;;
pcoE;METAL;COPPER;;;;;;;;;
ncrC;METAL;COPPER/NICKEL;;;;;;;;;
silA;METAL;COPPER/SILVER;;;;;;;;;
silB;METAL;COPPER/SILVER;;;;;;;;;
silF;METAL;COPPER/SILVER;;;;;;;;;
silC;METAL;COPPER/SILVER;;;;;;;;;
silR;METAL;COPPER/SILVER;;;;;;;;;
silS;METAL;COPPER/SILVER;;;;;;;;;
kdeA;AMR;EFFLUX;;;;;;;;;
mdtM;AMR;EFFLUX;;;;;;;;;
amvA;AMR;EFFLUX;;;;;;;;;
emrD;AMR;EFFLUX;;;;;;;;;
crpP;AMR;FLUOROQUINOLONE;;;;;;;;;
fosA;AMR;FOSFOMYCIN;;;;;;;;;
fosB;AMR;FOSFOMYCIN;;;;;;;;;
fosA10;AMR;FOSFOMYCIN;;;;;;;;;
fosA4;AMR;FOSFOMYCIN;;;;;;;;;
fosY;AMR;FOSFOMYCIN;;;;;;;;;
fosA3;AMR;FOSFOMYCIN;;;;;;;;;
fosB1;AMR;FOSFOMYCIN;;;;;;;;;
fusB;AMR;FUSIDIC ACID;;;;;;;;;
lnu(A);AMR;LINCOSAMIDE;;;;;;;;;
lnu(B);AMR;LINCOSAMIDE;;;;;;;;;
lnu(G);AMR;LINCOSAMIDE;;;;;;;;;
lnu(F);AMR;LINCOSAMIDE;;;;;;;;;
vga(A);AMR;LINCOSAMIDE;;;;;;;;;
lnu(A)';AMR;LINCOSAMIDE;;;;;;;;;
erm(42);AMR;LINCOSAMIDE/MACROLIDE;;;;;;;;;
erm(A);AMR;LINCOSAMIDE/MACROLIDE;;;;;;;;;
erm(C);AMR;LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN;;;;;;;;;
erm(B);AMR;LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN;;;;;;;;;
erm(T);AMR;LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN;;;;;;;;;
lsa(E);AMR;LINCOSAMIDE/STREPTOGRAMIN;;;;;;;;;
mph(A);AMR;MACROLIDE;;;;;;;;;
mph(E);AMR;MACROLIDE;;;;;;;;;
mph(C);AMR;MACROLIDE;;;;;;;;;
ere(A);AMR;MACROLIDE;;;;;;;;;
mph(G);AMR;MACROLIDE;;;;;;;;;
